id,condition_type,task_order,informative_task_index,normative_task_index,is_assigned,assigned_participant_id,assigned_at,created_at
1,majority,informativeFirst,0,0,true,32b70b37-a395-44f7-af56-31268be200c4,2025-09-09 14:43:43.050009+00,2025-09-05 08:18:37.792159+00
2,minority,normativeFirst,1,0,true,c724fed7-5bb1-4e16-972d-c7dbac7ba34e,2025-09-09 14:43:54.726724+00,2025-09-05 08:18:37.792159+00
3,minorityDiffusion,informativeFirst,2,1,true,871d350b-2da5-4cf0-8a7a-c2dc88bb4803,2025-09-09 14:44:16.470157+00,2025-09-05 08:18:37.792159+00
4,majority,normativeFirst,3,1,true,3794c56c-dffa-48cd-b926-e7a6b094f258,2025-09-09 14:44:42.22226+00,2025-09-05 08:18:37.792159+00
5,minority,informativeFirst,4,2,true,2648d04c-6732-41ba-a408-acd2a3ec32e7,2025-09-09 14:45:19.336062+00,2025-09-05 08:18:37.792159+00
6,minorityDiffusion,normativeFirst,5,2,true,4a257cd1-8d04-4b90-a741-5745fa88f51a,2025-09-09 14:45:56.170288+00,2025-09-05 08:18:37.792159+00
7,majority,informativeFirst,0,3,true,cef7f64b-9637-4193-bdd6-c9943b06c56a,2025-09-09 14:46:11.56722+00,2025-09-05 08:18:37.792159+00
8,minority,normativeFirst,1,3,true,84960d02-7dc3-43a3-b2e1-a945f23d90f0,2025-09-09 14:46:19.819102+00,2025-09-05 08:18:37.792159+00
9,minorityDiffusion,informativeFirst,2,4,true,531f9ad6-bffe-44e4-a4f4-e115908912f6,2025-09-09 14:46:55.737848+00,2025-09-05 08:18:37.792159+00
10,majority,normativeFirst,3,4,true,cfff5380-ac7a-474b-b789-c9210b78dd2b,2025-09-09 14:47:19.654272+00,2025-09-05 08:18:37.792159+00
11,minority,informativeFirst,4,5,true,b121bfe8-f8b7-48fc-af14-f99c15aedc62,2025-09-09 15:37:25.164784+00,2025-09-05 08:18:37.792159+00
12,minorityDiffusion,normativeFirst,5,5,true,3602b073-9f84-4bd3-a681-ea302ad6a1bf,2025-09-09 14:47:25.873258+00,2025-09-05 08:18:37.792159+00
13,majority,informativeFirst,0,0,true,21b14e1e-73cd-4390-af56-e404b575742d,2025-09-09 14:47:26.220395+00,2025-09-05 08:18:37.792159+00
14,minority,normativeFirst,1,0,true,eda76aba-529a-4bba-a2de-ccddec750d17,2025-09-09 14:47:39.83745+00,2025-09-05 08:18:37.792159+00
15,minorityDiffusion,informativeFirst,2,1,true,5b6a5a77-da0a-4cc4-b5fe-dbf17496f7df,2025-09-09 14:47:57.958558+00,2025-09-05 08:18:37.792159+00
16,majority,normativeFirst,3,1,true,5d934fc1-711c-402b-ac91-17e8e7f9b263,2025-09-09 14:49:39.42788+00,2025-09-05 08:18:37.792159+00
17,minority,informativeFirst,4,2,true,1e550f61-e86f-4792-9766-7a50fd3332e3,2025-09-09 17:20:37.881188+00,2025-09-05 08:18:37.792159+00
18,minorityDiffusion,normativeFirst,5,2,true,0970deef-da21-4b37-bddf-814b4a94c050,2025-09-09 17:18:37.884133+00,2025-09-05 08:18:37.792159+00
19,majority,informativeFirst,0,3,true,37434cb2-4371-4c88-93e7-ba80a6511ca3,2025-09-09 14:50:33.860489+00,2025-09-05 08:18:37.792159+00
20,minority,normativeFirst,1,3,true,74c9f1d7-3521-444e-9345-c995a33dc27a,2025-09-09 14:50:39.799015+00,2025-09-05 08:18:37.792159+00
21,minorityDiffusion,informativeFirst,2,4,true,66a31a6c-cd36-4668-b475-44db5f8dae1e,2025-09-09 14:51:35.010056+00,2025-09-05 08:18:37.792159+00
