Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68c03d0e6527da4a2e9af8ac,66e4ef42a321cf28dda09db2,APPROVED,Not Applicable,2025-09-09T14:43:34.291000Z,2025-09-09T15:11:56.055000Z,2025-09-09T15:11:58.459000Z,2025-09-09T15:11:56.571402Z,1702.0,CBUP19R5,545,English,54,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68c03d1938fedab9ea4ad759,655f8da6abba5f374f3145dc,APPROVED,Not Applicable,2025-09-09T14:43:46.650000Z,2025-09-09T15:17:19.630000Z,2025-09-09T15:17:22.937000Z,2025-09-09T15:17:20.009276Z,2013.0,CBUP19R5,2618,English,37,Female,Black,United States,United States,United States,English,No,Full-Time
68c03d2e948dd38dcce76914,66fbc35985ff22e3e81fc62a,APPROVED,Not Applicable,2025-09-09T14:44:06.049000Z,2025-09-09T15:31:49.539000Z,2025-09-09T15:31:52.426000Z,2025-09-09T15:31:49.950405Z,2864.0,CBUP19R5,287,English,64,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
68c03d35809955e05b724b59,65c347be7d456f4e0902823d,APPROVED,Not Applicable,2025-09-09T14:44:31.274000Z,2025-09-09T15:39:45.329000Z,2025-09-09T15:39:45.892000Z,2025-09-09T15:39:45.789100Z,3315.0,CBUP19R5,1039,English,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
68c03d4eb862c546d823b243,66ad0c8bdaa54a6251ff6e49,RETURNED,Not Applicable,2025-09-09T14:55:00.015000Z,,,2025-09-09T16:45:21.000597Z,,,213,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68c03d712569682f464c90f2,628f7e982aad1788d940317a,APPROVED,Not Applicable,2025-09-09T14:45:09.925000Z,2025-09-09T15:25:04.527000Z,2025-09-09T15:25:05.023000Z,2025-09-09T15:25:04.903700Z,2395.0,CBUP19R5,10350,English,71,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
68c03d790139a0dc3f201308,66d1fdd400acfdbc181f41e0,APPROVED,Not Applicable,2025-09-09T14:46:03.778000Z,2025-09-09T15:15:38.412000Z,2025-09-09T15:15:38.900000Z,2025-09-09T15:15:38.796724Z,1775.0,CBUP19R5,2109,English,51,Male,White,Canada,United States,Canada,English,No,Full-Time
68c03d907b869bdb2d0e4040,5d49a0b751695e0001a188a8,APPROVED,Not Applicable,2025-09-09T14:47:12.017000Z,2025-09-09T15:31:38.594000Z,2025-09-09T15:31:39.090000Z,2025-09-09T15:31:38.998873Z,2667.0,CBUP19R5,11138,English,61,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
68c03d91a4f4f4660d5630e8,6640d0ae532fbc1394f8c1dd,APPROVED,Not Applicable,2025-09-09T14:45:48.484000Z,2025-09-09T15:15:04.996000Z,2025-09-09T15:15:05.517000Z,2025-09-09T15:15:05.413181Z,1757.0,CBUP19R5,952,"English, Korean",42,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68c03dab128e85c15d148a2a,5fbae54831099083583afff0,APPROVED,Not Applicable,2025-09-09T14:46:12.945000Z,2025-09-09T15:17:02.211000Z,2025-09-09T15:17:02.730000Z,2025-09-09T15:17:02.605793Z,1850.0,CBUP19R5,2299,English,48,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
