id,participant_id,session_key,response_index,opinion,confidence,rt_ms,created_at,condition_id
000a0c51-00de-41fc-9291-f8c823f1e9aa,b121bfe8-f8b7-48fc-af14-f99c15aedc62,normative,3,-28,84,8473,2025-09-09 15:58:14.475588+00,11
0041a650-256e-4696-b895-ed1e5301fbe4,5b6a5a77-da0a-4cc4-b5fe-dbf17496f7df,normative,3,-49,98,13326,2025-09-09 15:03:57.352254+00,15
00428ff8-96a3-414b-b6ed-155f3d7cf2ef,32b70b37-a395-44f7-af56-31268be200c4,test,4,29,72,18163,2025-09-09 14:51:37.40959+00,1
005a4450-3902-4706-b22d-a98aebcda335,b2f2cdd4-44e9-4283-b632-ff9f49664bf0,normative,1,30,100,52512,2025-09-09 17:44:53.283367+00,114
005a83ce-da84-4c9a-8bfa-a25b6f4343e5,6e51d200-d884-4119-8396-68494a7ddf3f,normative,1,41,90,24553,2025-09-09 17:42:31.9617+00,79
00895a16-54cc-4486-912d-5c737231b305,5cc0e14d-5fe2-4447-b4ca-5994e3e10831,informative,3,15,56,29487,2025-09-09 18:49:33.102108+00,47
008d0d83-5383-4e72-a8c9-f20fc648ffb9,4ecb8388-2338-4007-81be-d00054e8c430,informative,4,-26,88,24508,2025-09-09 18:10:35.245893+00,108
01205019-22b1-4937-95b6-7f5d6798d621,8ede819d-117f-4546-8585-2d06a42a44ed,test,0,50,100,28413,2025-09-09 17:24:11.31754+00,55
013efd06-25a5-4f6a-9bb4-c7d48c11cba4,5d1b61d5-a2f2-44bd-a128-edf1f61bd715,normative,3,28,92,30971,2025-09-09 17:56:29.734632+00,35
01417e33-f1ff-4a88-9e30-3dd4b8dfe236,c73badf7-3e8c-4394-bebd-062f9d8e2c65,test,0,-26,84,82767,2025-09-09 17:56:07.853376+00,103
01801f32-fc68-4cc4-9972-56676a43b3ff,21b14e1e-73cd-4390-af56-e404b575742d,test,4,33,83,10827,2025-09-09 14:54:15.267903+00,13
018be1c4-2f45-4470-aee1-416ee5771a74,c1160f10-3fe4-45c8-bedb-256f1b56060e,informative,3,-9,70,21016,2025-09-09 18:07:03.763781+00,119
01aa6152-af4f-46f3-8672-adbd27a5d5f3,a070fecf-acb3-4d27-abe1-e6739b8537f3,informative,3,16,67,27652,2025-09-09 17:35:40.962715+00,41
01ae9294-b07f-475b-b28d-a7096c5c3d7f,e1941179-3705-4639-b6ce-ec82c3a00c66,normative,0,-15,45,19487,2025-09-09 17:56:04.885851+00,65
01e11208-d830-4330-9527-46b49aab0a07,07d88852-7da1-4eaa-9413-468d15f8dc10,test,0,-50,100,19385,2025-09-09 17:26:32.356576+00,51
01ea58da-74ff-434f-b04d-b8c118f51280,eda76aba-529a-4bba-a2de-ccddec750d17,test,2,-29,86,39022,2025-09-09 14:53:40.548339+00,14
021c7ee2-685b-4dde-810f-ca45cb76edcb,7ed3a914-8b04-43a8-b4a3-40a88e6eb270,normative,0,-25,78,22086,2025-09-09 18:39:09.242431+00,72
02471395-c91d-43e5-abd7-234793f5b55f,9b21942f-17c3-4406-b78e-79d5b9a591bf,informative,1,27,80,37502,2025-09-09 18:01:26.617778+00,71
024e21dc-db0e-4fdf-9309-88bd51c0669a,873bb404-396b-4a21-bd83-ad7dd1a10af9,informative,1,-50,100,15969,2025-09-09 15:04:05.255932+00,25
02652b8b-8662-436b-ac4a-e8395cf5bb7b,4d1cd95f-4f3f-40ae-ab18-7f0171c8d7f7,normative,3,-34,91,7711,2025-09-09 17:48:54.130953+00,100
02c03749-addf-43a5-b58e-346b17843d36,9a87156c-e259-4496-8112-91c616f9a63e,test,4,0,100,64249,2025-09-09 18:03:44.780709+00,93
02d1c439-5f37-4295-9793-cc1ff5a1c16d,77c2f6c1-59bb-4529-b4bd-95947c8939bb,informative,0,50,100,11274,2025-09-09 17:40:43.931512+00,80
02f8baaa-ea30-45f1-b563-d010921812f1,134c2569-bfe7-414e-86a0-d3b3f948f5e9,informative,4,-28,68,57616,2025-09-09 19:33:13.45448+00,50
02feb88c-a2f4-484f-abbb-536e35370c46,7bbeecf7-33a6-4f95-b1f7-1b17b79f0b72,informative,2,-40,82,18269,2025-09-09 17:46:48.319351+00,68
0310c395-cb08-4d67-82cb-b4272ee29eb5,43767e66-41d2-4d39-ab15-55bb730cb0ed,normative,3,-11,44,19174,2025-09-09 17:36:53.651276+00,88
032acda5-1df1-48f7-98db-c9f234dc1825,9a87156c-e259-4496-8112-91c616f9a63e,informative,3,30,88,57229,2025-09-09 18:10:56.944829+00,93
032fda1f-5743-40b6-880e-d8bb35cc6bf4,c1160f10-3fe4-45c8-bedb-256f1b56060e,test,4,31,83,19621,2025-09-09 18:03:26.617458+00,119
033eb516-48fc-40df-b0fd-79b8be5798e5,6e51d200-d884-4119-8396-68494a7ddf3f,test,3,29,94,22734,2025-09-09 17:31:03.628802+00,79
033f1e83-5656-4899-a16f-5df1aee4a72a,4fc031df-bd76-4619-affa-8dcd30c6c748,test,1,-30,100,32804,2025-09-09 14:59:50.805752+00,24
037df9ce-2ca7-4a4c-a789-3b862825b0c4,aa5e0dc7-39c5-43aa-b82b-ef78f2b133c4,test,0,41,75,37279,2025-09-09 17:22:09.381263+00,36
03a38b23-9867-4eab-93d5-9d8c4bfa7b24,38598dd5-4b64-46e0-8bda-c1a3766ec74d,test,2,-37,85,17965,2025-09-09 17:53:33.372477+00,120
03ba2ae0-9708-477a-a27e-36ef7d75e403,07d88852-7da1-4eaa-9413-468d15f8dc10,test,3,-50,100,5730,2025-09-09 17:29:31.546087+00,51
03d652b4-f684-467d-a4a3-e1ed7a5b3ae3,929a3771-f5d2-4878-8a0f-a54e9ddd35f3,informative,3,50,100,7314,2025-09-09 17:55:32.930784+00,
03dafbf8-e8ca-401b-b633-fd00fcc0a3fe,43767e66-41d2-4d39-ab15-55bb730cb0ed,normative,2,-26,22,14334,2025-09-09 17:35:54.904706+00,88
03db6edc-ef56-47b8-bd7f-226c0218f67e,d385aeea-2dd2-4f42-b57e-78a9b42f0382,informative,2,-10,48,66213,2025-09-09 17:48:53.189757+00,44
03e0ed55-40b7-494b-a36f-90143318408d,5d934fc1-711c-402b-ac91-17e8e7f9b263,informative,2,20,81,16086,2025-09-09 15:12:47.664475+00,16
03fd6692-b25f-4f93-b20b-725f308af6c0,a06d8bf2-816c-48a8-b4fe-03c79b290a30,test,1,33,85,27337,2025-09-09 17:26:56.746324+00,69
043f0ca5-2776-48ae-970e-11f55999e39c,c724fed7-5bb1-4e16-972d-c7dbac7ba34e,test,3,44,94,34681,2025-09-09 14:52:49.388942+00,2
0450a019-6643-4c38-831a-a72b44ecde7b,12977f58-b35a-48bb-ba9b-643cc0379c18,normative,0,-41,19,13833,2025-09-09 18:12:15.860449+00,112
045155ab-6534-43ce-ba91-6d52e3adc3c1,eda76aba-529a-4bba-a2de-ccddec750d17,normative,4,43,93,8257,2025-09-09 15:01:53.330131+00,14
