"task_type","opinion_traj_group","participant_no"
"Normative","always_pos",2
"Normative","always_pos",3
"Normative","always_pos",6
"Normative","always_pos",7
"Normative","always_pos",12
"Normative","always_pos",14
"Normative","always_pos",20
"Normative","always_pos",23
"Normative","always_pos",27
"Normative","always_pos",31
"Normative","always_pos",35
"Normative","always_pos",36
"Normative","always_pos",39
"Normative","always_pos",41
"Normative","always_pos",42
"Normative","always_pos",44
"Normative","always_pos",48
"Normative","always_pos",49
"Normative","always_pos",51
"Normative","always_pos",56
"Normative","always_pos",60
"Normative","always_pos",66
"Normative","always_pos",69
"Normative","always_pos",70
"Normative","always_pos",73
"Normative","always_pos",74
"Normative","always_pos",75
"Normative","always_pos",81
"Normative","always_pos",86
"Normative","always_pos",89
"Normative","always_pos",92
"Normative","always_pos",96
"Normative","always_pos",98
"Normative","always_pos",100
"Normative","always_pos",101
"Normative","always_pos",104
"Normative","always_pos",109
"Normative","always_pos",119
"Normative","always_pos",120
"Normative","always_pos",121
"Normative","always_pos",124
"Normative","always_pos",126
"Normative","always_pos",127
"Normative","always_neg",5
"Normative","always_neg",10
"Normative","always_neg",11
"Normative","always_neg",22
"Normative","always_neg",24
"Normative","always_neg",47
"Normative","always_neg",50
"Normative","always_neg",53
"Normative","always_neg",61
"Normative","always_neg",79
"Normative","always_neg",91
"Normative","always_neg",97
"Normative","always_neg",108
"Normative","always_neg",117
"Normative","always_neg",125
"Normative","mixed",1
"Normative","mixed",4
"Normative","mixed",8
"Normative","mixed",9
"Normative","mixed",13
"Normative","mixed",15
"Normative","mixed",16
"Normative","mixed",17
"Normative","mixed",18
"Normative","mixed",19
"Normative","mixed",21
"Normative","mixed",25
"Normative","mixed",26
"Normative","mixed",28
"Normative","mixed",29
"Normative","mixed",30
"Normative","mixed",32
"Normative","mixed",33
"Normative","mixed",34
"Normative","mixed",37
"Normative","mixed",38
"Normative","mixed",40
"Normative","mixed",43
"Normative","mixed",45
"Normative","mixed",46
"Normative","mixed",52
"Normative","mixed",54
"Normative","mixed",55
"Normative","mixed",57
"Normative","mixed",58
"Normative","mixed",59
"Normative","mixed",62
"Normative","mixed",63
"Normative","mixed",64
"Normative","mixed",65
"Normative","mixed",67
"Normative","mixed",68
"Normative","mixed",71
"Normative","mixed",72
"Normative","mixed",76
"Normative","mixed",77
"Normative","mixed",78
"Normative","mixed",80
"Normative","mixed",82
"Normative","mixed",83
"Normative","mixed",84
"Normative","mixed",85
"Normative","mixed",87
"Normative","mixed",88
"Normative","mixed",90
"Normative","mixed",93
"Normative","mixed",94
"Normative","mixed",95
"Normative","mixed",99
"Normative","mixed",102
"Normative","mixed",103
"Normative","mixed",105
"Normative","mixed",106
"Normative","mixed",107
"Normative","mixed",110
"Normative","mixed",111
"Normative","mixed",112
"Normative","mixed",113
"Normative","mixed",114
"Normative","mixed",115
"Normative","mixed",116
"Normative","mixed",118
"Normative","mixed",122
"Normative","mixed",123
"Informative","always_pos",5
"Informative","always_pos",7
"Informative","always_pos",12
"Informative","always_pos",27
"Informative","always_pos",31
"Informative","always_pos",40
"Informative","always_pos",53
"Informative","always_pos",56
"Informative","always_pos",60
"Informative","always_pos",61
"Informative","always_pos",62
"Informative","always_pos",73
"Informative","always_pos",78
"Informative","always_pos",88
"Informative","always_pos",93
"Informative","always_pos",95
"Informative","always_pos",102
"Informative","always_pos",110
"Informative","always_pos",114
"Informative","always_pos",118
"Informative","always_pos",126
"Informative","always_neg",1
"Informative","always_neg",2
"Informative","always_neg",4
"Informative","always_neg",11
"Informative","always_neg",25
"Informative","always_neg",26
"Informative","always_neg",32
"Informative","always_neg",34
"Informative","always_neg",36
"Informative","always_neg",41
"Informative","always_neg",44
"Informative","always_neg",46
"Informative","always_neg",48
"Informative","always_neg",50
"Informative","always_neg",51
"Informative","always_neg",54
"Informative","always_neg",57
"Informative","always_neg",64
"Informative","always_neg",65
"Informative","always_neg",66
"Informative","always_neg",70
"Informative","always_neg",72
"Informative","always_neg",77
"Informative","always_neg",79
"Informative","always_neg",86
"Informative","always_neg",94
"Informative","always_neg",99
"Informative","always_neg",100
"Informative","always_neg",101
"Informative","always_neg",119
"Informative","always_neg",124
"Informative","always_neg",125
"Informative","mixed",3
"Informative","mixed",6
"Informative","mixed",8
"Informative","mixed",9
"Informative","mixed",10
"Informative","mixed",13
"Informative","mixed",14
"Informative","mixed",15
"Informative","mixed",16
"Informative","mixed",17
"Informative","mixed",18
"Informative","mixed",19
"Informative","mixed",20
"Informative","mixed",21
"Informative","mixed",22
"Informative","mixed",23
"Informative","mixed",24
"Informative","mixed",28
"Informative","mixed",29
"Informative","mixed",30
"Informative","mixed",33
"Informative","mixed",35
"Informative","mixed",37
"Informative","mixed",38
"Informative","mixed",39
"Informative","mixed",42
"Informative","mixed",43
"Informative","mixed",45
"Informative","mixed",47
"Informative","mixed",49
"Informative","mixed",52
"Informative","mixed",55
"Informative","mixed",58
"Informative","mixed",59
"Informative","mixed",63
"Informative","mixed",67
"Informative","mixed",68
