id,source,prolific_pid,study_id,session_id,condition_type,task_order,informative_task_index,normative_task_index,created_at,finished_at,participant_no,row_in_p,is_later_dup
32b70b37-a395-44f7-af56-31268be200c4,prolific,66e4ef42a321cf28dda09db2,68c03b0330a5bf7db9a38960,68c03d0e6527da4a2e9af8ac,majority,informativeFirst,0,0,2025-09-09T14:43:42Z,2025-09-09T15:11:48Z,1,1,FALSE
c724fed7-5bb1-4e16-972d-c7dbac7ba34e,prolific,655f8da6abba5f374f3145dc,68c03b0330a5bf7db9a38960,68c03d1938fedab9ea4ad759,minority,normativeFirst,1,0,2025-09-09T14:43:54Z,2025-09-09T15:17:03Z,2,1,FALSE
871d350b-2da5-4cf0-8a7a-c2dc88bb4803,prolific,66fbc35985ff22e3e81fc62a,68c03b0330a5bf7db9a38960,68c03d2e948dd38dcce76914,minorityDiffusion,informativeFirst,2,1,2025-09-09T14:44:16Z,2025-09-09T15:31:40Z,3,1,FALSE
3794c56c-dffa-48cd-b926-e7a6b094f258,prolific,65c347be7d456f4e0902823d,68c03b0330a5bf7db9a38960,68c03d35809955e05b724b59,majority,normativeFirst,3,1,2025-09-09T14:44:41Z,2025-09-09T15:39:34Z,4,1,FALSE
2648d04c-6732-41ba-a408-acd2a3ec32e7,prolific,628f7e982aad1788d940317a,68c03b0330a5bf7db9a38960,68c03d712569682f464c90f2,minority,informativeFirst,4,2,2025-09-09T14:45:18Z,2025-09-09T15:24:54Z,5,1,FALSE
4a257cd1-8d04-4b90-a741-5745fa88f51a,prolific,6640d0ae532fbc1394f8c1dd,68c03b0330a5bf7db9a38960,68c03d91a4f4f4660d5630e8,minorityDiffusion,normativeFirst,5,2,2025-09-09T14:45:55Z,2025-09-09T15:14:57Z,6,1,FALSE
cef7f64b-9637-4193-bdd6-c9943b06c56a,prolific,66d1fdd400acfdbc181f41e0,68c03b0330a5bf7db9a38960,68c03d790139a0dc3f201308,majority,informativeFirst,0,3,2025-09-09T14:46:11Z,2025-09-09T15:15:27Z,7,1,FALSE
84960d02-7dc3-43a3-b2e1-a945f23d90f0,prolific,5fbae54831099083583afff0,68c03b0330a5bf7db9a38960,68c03dab128e85c15d148a2a,minority,normativeFirst,1,3,2025-09-09T14:46:19Z,2025-09-09T15:16:54Z,8,1,FALSE
531f9ad6-bffe-44e4-a4f4-e115908912f6,prolific,55c495d2fdf99b2d6cabb691,68c03b0330a5bf7db9a38960,68c03dd45dddbc3076e57246,minorityDiffusion,informativeFirst,2,4,2025-09-09T14:46:55Z,2025-09-09T15:15:17Z,9,1,FALSE
cfff5380-ac7a-474b-b789-c9210b78dd2b,prolific,5d49a0b751695e0001a188a8,68c03b0330a5bf7db9a38960,68c03d907b869bdb2d0e4040,majority,normativeFirst,3,4,2025-09-09T14:47:19Z,2025-09-09T15:31:31Z,10,1,FALSE
