id,participant_id,participant_no,condition_id,condition_type,task_order,task_type,survey_number,thoughts_on_experiment,suggestions,created_at,reason_for_change,internal_inconsistency,pattern_experience,pattern_experience_majority,pattern_experience_minority,pattern_experience_diffusion
921084cf-24b3-42a3-a947-bb1458dbd43b,32b70b37-a395-44f7-af56-31268be200c4,1,1.0,majority,informativeFirst,informative,1,"The AI assistant provided the years, which helped to strengthen its argument, and it never wavered, so my confidence continued to build. ",,2025-09-09 15:00:49.493438+00:00,"I was not aware of when Cleopatra was alive, so at first I was unsure, but the facts provided in the AI's statements convinced me that Cleopatra's life was closer to the moon landing. ",There was no difference.,"I was fine with the differing opinions because it was fact-based, which increased my trust. ","I was fine with the differing opinions because it was fact-based, which increased my trust. ",,
7af68394-10db-4bf5-8d1a-d3ce849ca336,32b70b37-a395-44f7-af56-31268be200c4,1,1.0,majority,informativeFirst,normative,2,The AI assistants really never changed their stances and continued to focus on the same points rather than providing a more nuanced response to my question.,,2025-09-09 15:11:47.603078+00:00,I became more confident that offline meetings are more efficient because AI assistants could never provide enough relevant details to convince me otherwise.,There are no differences.,"I was a bit frustrated that they never seemed to change their points, and when I tried to clarify that I found face-to-face meetings to be more efficient when people are already in the same location, they used the same points, which were not as relevant.","I was a bit frustrated that they never seemed to change their points, and when I tried to clarify that I found face-to-face meetings to be more efficient when people are already in the same location, they used the same points, which were not as relevant.",,
7f69ff54-6e49-4235-b6d7-aeb1c7399d61,c724fed7-5bb1-4e16-972d-c7dbac7ba34e,2,2.0,minority,normativeFirst,informative,2,I thought the agents did a great job breaking down why I was wrong and explained everything in terms I could understand,Thank you. ,2025-09-09 15:17:02.106217+00:00,They gave me factually evidence that my opinion was wrong and explained how it could be tricky and why many people believe in the wrong information,"No, no difference. ","At first I questioned why the AI thought this way, but once they backed it up with a strong argument and factually evidence I was able to trust it",,"At first I questioned why the AI thought this way, but once they backed it up with a strong argument and factually evidence I was able to trust it",
fd7f0463-909f-4c08-a166-a9f7d4d56ae2,c724fed7-5bb1-4e16-972d-c7dbac7ba34e,2,2.0,minority,normativeFirst,normative,1,"I think holding true to what I believe in was my final decision in the session. I understood the opposing argument but having experienced both in person meetings and online meeting, I can pull from first hand experience that online meetings are better and more efficient. ",This was a lot of fun. Thank you. ,2025-09-09 15:07:21.204171+00:00,"I've maintained my position because the opposing argument wasn't strong enough, and I have personal experience. Nothing the AI said influenced me, just made me think about another perspective. ","There was no difference, so I didn't have to hold my feelings back.","I liked that I was challenged by the one AI bot. I thought that it was good to look at the situation from another perspective and I understood where they were coming from. However, it still did not convince me to choose their position or even change mine slightly. ",,"I liked that I was challenged by the one AI bot. I thought that it was good to look at the situation from another perspective and I understood where they were coming from. However, it still did not convince me to choose their position or even change mine slightly. ",
9ca234df-b03c-47ab-88bd-c0880e29ba07,871d350b-2da5-4cf0-8a7a-c2dc88bb4803,3,3.0,minorityDiffusion,informativeFirst,informative,1,I tried to determine whether there was any commonality between the 3 agents.,,2025-09-09 15:17:42.299277+00:00,"The AI's broadened the topic, and introduced other factors that led me to better understand the topic.   ","There wasn't any difference. The topic was complex, so I was learning, and trying to understand the responses. ","I didn't think it was a minority position, the topic was complex so I was trying to understand it better. ",,,"I didn't think it was a minority position, the topic was complex so I was trying to understand it better. "
8122e7ec-e5e7-449d-8a70-885963aaabbd,871d350b-2da5-4cf0-8a7a-c2dc88bb4803,3,3.0,minorityDiffusion,informativeFirst,normative,2,"My initial thoughts were the most important. I made a rational augment, to me, agent 3 was not responding rationally, and did not understand my emotion on the topic. ",,2025-09-09 15:31:40.052066+00:00,"My initial opinion and final opinion were much the same. A1 and A2 seemed to agree, A3 influenced my to strengthen my argument.",No,That made me trust them more (A1 and A2) ,,,That made me trust them more (A1 and A2) 
6d5bf34d-139b-4bb8-900d-afd3ba45c691,3794c56c-dffa-48cd-b926-e7a6b094f258,4,4.0,majority,normativeFirst,informative,2,I did think my initial thought was correct so I guess I was just looking for confirmation with the AI assistants so I would say they were an important factor in my final decision.,,2025-09-09 15:39:34.307321+00:00,"I do think in this instance because I was looking for clarification that because all 3 agents had a similar opinion, In this case it was good to go with the majority, this was why my answers changed slightly from my initial option. ",I don't think my answer would have changed whether I was saying it publicly or privately (well not in this case).,I think they all agreed that the spelling was incorrect in this context just a slight alteration with the spelling of the correct word. I guess the original question was is this spelling correct for this term which was incorrect so they were all on the same path so I don't think there was a lot of difference in the answer to be honest. ,I think they all agreed that the spelling was incorrect in this context just a slight alteration with the spelling of the correct word. I guess the original question was is this spelling correct for this term which was incorrect so they were all on the same path so I don't think there was a lot of difference in the answer to be honest. ,,
205f55df-9f05-4449-a37d-2bb0067298a9,3794c56c-dffa-48cd-b926-e7a6b094f258,4,4.0,majority,normativeFirst,normative,1,"I think I stuck to my initial thoughts because the I felt like the AI agents were giving me the same repeated arguments for tipping, I am not sure that it felt very balanced.",,2025-09-09 15:19:36.891282+00:00,My opinion definitely stayed maintained because I didnt really feel like I was getting a balanced view and definitely felt a bit one sided.,I think my answer still would have been the same so I would have seen no difference. I think sometimes when you stand firmly on one topic there is very little movement to change unless the arguments were compelling enough and I didnt feel like this was the case.,"I feel like they all gave similar opinions to be honest, I don't think it effected my judgement at all. I am usually open to listen to another perspective but sometimes its not enough to change your mind. ","I feel like they all gave similar opinions to be honest, I don't think it effected my judgement at all. I am usually open to listen to another perspective but sometimes its not enough to change your mind. ",,
7d54606b-a68d-46bd-b2a8-6ec2a9096a60,2648d04c-6732-41ba-a408-acd2a3ec32e7,5,5.0,minority,informativeFirst,informative,1,I wasn't sure about my knowledge of the statement in the task so the AI's gave me the correct answer so it wasn't a matter of changing my mind but they gave me the facts.,"I really enjoyed the points given by the AI's and their knowledge, speed, and accuracy is amazing and built my trust with them.",2025-09-09 15:12:11.071148+00:00,I didn't really have an opinion to start with because the statement was the Thomas Edison invented the light bulb and I wasn't sure if that was true so the AI's gave me the facts on that so I was able to then place the slider in the oppose position.,"No, there was no difference and I wouldn't have held different opinions.",I didn't feel differently after hearing the other opinion but it was very interesting that the AI pointed out a different aspect of the issue.,,I didn't feel differently after hearing the other opinion but it was very interesting that the AI pointed out a different aspect of the issue.,
93379ea7-8abe-4317-84a6-105a356d4d02,2648d04c-6732-41ba-a408-acd2a3ec32e7,5,5.0,minority,informativeFirst,normative,2,My initial thoughts were in total agreement with the AI's so I didn't change my mind.,"Very interesting and fun to interact with these guys, really enjoyed it, thank you!",2025-09-09 15:24:53.910870+00:00,My opinion remained the same and was reinforced by the opinions of the AI's which was nice.,"No, no difference.",It gave a little different perspective which I also agreed with but it was not a strong enough argument to change my mind.,,It gave a little different perspective which I also agreed with but it was not a strong enough argument to change my mind.,
