id,participant_id,participant_no,condition_id,condition_type,task_order,task_type,survey_number,perceived_compliance_1,perceived_compliance_2,perceived_compliance_3,perceived_compliance_4,perceived_conversion_1,perceived_conversion_2,perceived_conversion_3,perceived_conversion_4,concentration_test,agent_competence,agent_predictability,agent_integrity,agent_understanding,agent_utility,agent_affect,agent_trust,agent1_competence,agent1_predictability,agent1_integrity,agent1_understanding,agent1_utility,agent1_affect,agent1_trust,agent3_competence,agent3_predictability,agent3_integrity,agent3_understanding,agent3_utility,agent3_affect,agent3_trust,created_at
81826da0-5faa-4be3-83a8-62dcb8aa9460,32b70b37-a395-44f7-af56-31268be200c4,1,1.0,majority,informativeFirst,informative,1,5,1,1,1,7,6,7,6,4,7.0,6.0,6.0,5.0,6.0,4.0,5.0,,,,,,,,,,,,,,,2025-09-09 14:58:31.403859+00:00
cd2473fe-896c-4e19-906b-ab29fa54e4da,32b70b37-a395-44f7-af56-31268be200c4,1,1.0,majority,informativeFirst,normative,2,2,1,1,1,3,7,7,7,4,4.0,6.0,4.0,2.0,5.0,4.0,4.0,,,,,,,,,,,,,,,2025-09-09 15:08:30.635498+00:00
867c2377-b22d-46d5-bf5f-d2de9129af6f,c724fed7-5bb1-4e16-972d-c7dbac7ba34e,2,2.0,minority,normativeFirst,informative,2,6,1,1,1,7,1,4,4,4,,,,,,,,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,2025-09-09 15:14:56.476473+00:00
00cc048c-2ee4-48a2-b594-4c391967fb40,c724fed7-5bb1-4e16-972d-c7dbac7ba34e,2,2.0,minority,normativeFirst,normative,1,1,1,1,1,2,7,5,6,4,,,,,,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,5.0,5.0,5.0,2025-09-09 15:03:38.686365+00:00
a0455943-89fd-420b-968d-6bebe64e9a8d,871d350b-2da5-4cf0-8a7a-c2dc88bb4803,3,3.0,minorityDiffusion,informativeFirst,informative,1,2,3,2,3,4,6,6,4,4,,,,,,,,3.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2025-09-09 15:12:03.863116+00:00
35f5528c-eb78-475f-bd66-e8eda8aedba2,871d350b-2da5-4cf0-8a7a-c2dc88bb4803,3,3.0,minorityDiffusion,informativeFirst,normative,2,1,1,1,1,1,1,4,4,4,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,6.0,3.0,4.0,4.0,2025-09-09 15:27:07.823369+00:00
aa23e29e-6fca-4ec9-8645-a8b62ca6418a,3794c56c-dffa-48cd-b926-e7a6b094f258,4,4.0,majority,normativeFirst,informative,2,6,3,3,2,6,6,6,6,4,6.0,6.0,6.0,3.0,5.0,4.0,4.0,,,,,,,,,,,,,,,2025-09-09 15:30:27.697348+00:00
414d57dc-be5d-42a5-b0f4-1630db9b58b2,3794c56c-dffa-48cd-b926-e7a6b094f258,4,4.0,majority,normativeFirst,normative,1,1,1,1,1,1,1,1,1,4,4.0,6.0,4.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,2025-09-09 15:10:18.993126+00:00
87d1877c-3596-4f0f-953f-ca8e8a1c6faf,2648d04c-6732-41ba-a408-acd2a3ec32e7,5,5.0,minority,informativeFirst,informative,1,6,1,1,1,5,7,7,5,4,,,,,,,,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,2025-09-09 15:06:12.862592+00:00
75a433e4-8182-4608-9531-1e020b1bade0,2648d04c-6732-41ba-a408-acd2a3ec32e7,5,5.0,minority,informativeFirst,normative,2,1,1,1,1,1,7,7,6,4,,,,,,,,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,2025-09-09 15:19:46.918836+00:00
