measure,task_type,pattern,n,mean,sd
agent_affect,Normative,Majority,41,3.5853658536585367,1.9618309019395326
agent_affect,Normative,Minority,43,4.488372093023256,1.5640620652533463
agent_affect,Normative,Diffusion,43,4.430232558139535,1.9290430496715611
agent_affect,Normative,All,127,4.177165354330708,1.8564853710057632
agent_affect,Informative,Majority,41,3.5365853658536586,2.074820003947448
agent_affect,Informative,Minority,43,4.744186046511628,1.5674216507466125
agent_affect,Informative,Diffusion,43,4.3604651162790695,2.0216847682874746
agent_affect,Informative,All,127,4.224409448818898,1.949469465290618
agent_affect,All,Majority,41,3.5609756097560976,1.9306576662863473
agent_affect,All,Minority,43,4.616279069767442,1.4591142506521746
agent_affect,All,Diffusion,43,4.395348837209302,1.9049063829480526
agent_affect,All,All,127,4.200787401574803,1.818674995747585
agent_competence,Normative,Majority,41,4.365853658536586,1.561347135664834
agent_competence,Normative,Minority,43,4.965116279069767,1.3601266959421083
agent_competence,Normative,Diffusion,43,4.744186046511628,1.6233859860799174
agent_competence,Normative,All,127,4.696850393700787,1.5264304770443504
agent_competence,Informative,Majority,41,4.121951219512195,1.860041961236621
agent_competence,Informative,Minority,43,5.3604651162790695,1.1460365519982587
agent_competence,Informative,Diffusion,43,4.372093023255814,1.527887676841922
agent_competence,Informative,All,127,4.625984251968504,1.6133969191732238
agent_competence,All,Majority,41,4.2439024390243905,1.4453457684041913
agent_competence,All,Minority,43,5.162790697674419,1.1711864671621623
agent_competence,All,Diffusion,43,4.558139534883721,1.3691294693621814
agent_competence,All,All,127,4.661417322834646,1.3752804761035131
agent_integrity,Normative,Majority,41,4.097560975609756,1.5938142622147116
agent_integrity,Normative,Minority,43,5,1.3671311638052945
agent_integrity,Normative,Diffusion,43,4.732558139534884,1.6880138977977523
agent_integrity,Normative,All,127,4.618110236220472,1.5879715184180998
agent_integrity,Informative,Majority,41,4.195121951219512,1.749564405718205
agent_integrity,Informative,Minority,43,5.116279069767442,1.2716562564433425
agent_integrity,Informative,Diffusion,43,4.72093023255814,1.6772366927741715
agent_integrity,Informative,All,127,4.68503937007874,1.609499515039966
agent_integrity,All,Majority,41,4.146341463414634,1.4328463910998293
agent_integrity,All,Minority,43,5.058139534883721,1.1774634880881574
agent_integrity,All,Diffusion,43,4.726744186046512,1.5165887802035205
agent_integrity,All,All,127,4.651574803149606,1.4219640035164707
agent_predictability,Normative,Majority,41,5.195121951219512,1.327017561962198
agent_predictability,Normative,Minority,43,5.616279069767442,1.1224824174162542
agent_predictability,Normative,Diffusion,43,4.8604651162790695,1.411372100860537
agent_predictability,Normative,All,127,5.224409448818898,1.3194344949927135
agent_predictability,Informative,Majority,41,5,1.6431676725154984
agent_predictability,Informative,Minority,43,5.8023255813953485,1.0008302201513033
agent_predictability,Informative,Diffusion,43,4.569767441860465,1.5452746533069208
agent_predictability,Informative,All,127,5.125984251968504,1.5012805432667478
agent_predictability,All,Majority,41,5.097560975609756,1.2560827609831389
agent_predictability,All,Minority,43,5.709302325581396,1.0087861525918809
agent_predictability,All,Diffusion,43,4.715116279069767,1.35024402043804
agent_predictability,All,All,127,5.175196850393701,1.2725407969845215
agent_trust,Normative,Majority,41,3.4146341463414633,1.8705027366472573
agent_trust,Normative,Minority,43,4.383720930232558,1.6684652532247
agent_trust,Normative,Diffusion,43,4.1976744186046515,1.9613513771902786
agent_trust,Normative,All,127,4.0078740157480315,1.8697511208295248
agent_trust,Informative,Majority,41,3.5365853658536586,1.9760764278692486
agent_trust,Informative,Minority,43,4.627906976744186,1.6514532678530593
agent_trust,Informative,Diffusion,43,4.232558139534884,1.9314096665675935
agent_trust,Informative,All,127,4.141732283464567,1.896004191981916
agent_trust,All,Majority,41,3.475609756097561,1.7746521472960384
agent_trust,All,Minority,43,4.505813953488372,1.5787732316401621
agent_trust,All,Diffusion,43,4.215116279069767,1.843248132138873
agent_trust,All,All,127,4.074803149606299,1.7748560640919502
agent_understanding,Normative,Majority,41,3.951219512195122,1.883497007061534
agent_understanding,Normative,Minority,43,4.895348837209302,1.5566988099626375
agent_understanding,Normative,Diffusion,43,5.1395348837209305,1.8813798804883965
agent_understanding,Normative,All,127,4.673228346456693,1.836985488657793
agent_understanding,Informative,Majority,41,3.8780487804878048,1.9773103189840933
agent_understanding,Informative,Minority,43,5.162790697674419,1.5186183030595926
agent_understanding,Informative,Diffusion,43,4.8604651162790695,1.8300584865600178
agent_understanding,Informative,All,127,4.645669291338582,1.85068652664964
agent_understanding,All,Majority,41,3.9146341463414633,1.7208371473805641
agent_understanding,All,Minority,43,5.02906976744186,1.3857365480966781
agent_understanding,All,Diffusion,43,5,1.773649721149397
agent_understanding,All,All,127,4.659448818897638,1.7016184206054636
agent_utility,Normative,Majority,41,3.682926829268293,2.0179076340388313
agent_utility,Normative,Minority,43,4.465116279069767,1.7538914177351097
agent_utility,Normative,Diffusion,43,4.372093023255814,2.0560393711946636
agent_utility,Normative,All,127,4.181102362204724,1.9616049585093185
agent_utility,Informative,Majority,41,3.7317073170731705,2.049687662107357
agent_utility,Informative,Minority,43,4.755813953488372,1.601234988492349
agent_utility,Informative,Diffusion,43,4.488372093023256,1.944125375920467
agent_utility,Informative,All,127,4.334645669291339,1.9066041428624612
agent_utility,All,Majority,41,3.707317073170732,1.9005775758835044
agent_utility,All,Minority,43,4.6104651162790695,1.5605843738932754
agent_utility,All,Diffusion,43,4.430232558139535,1.8861380149118676
agent_utility,All,All,127,4.2578740157480315,1.8153711544602769
compliance_mean,Normative,Majority,41,2.207317073170732,1.3426913725615506
compliance_mean,Normative,Minority,43,1.8488372093023258,0.9607467564405691
compliance_mean,Normative,Diffusion,43,1.8604651162790697,0.914991421995628
compliance_mean,Normative,All,127,1.968503937007874,1.0892658651515605
compliance_mean,Informative,Majority,41,2.5365853658536586,1.2803331788173293
compliance_mean,Informative,Minority,43,2.3779069767441863,1.113194797781282
compliance_mean,Informative,Diffusion,43,2.383720930232558,1.1881719116753906
compliance_mean,Informative,All,127,2.4311023622047245,1.1871823574145128
compliance_mean,All,Majority,41,2.3719512195121952,1.1013088111701348
compliance_mean,All,Minority,43,2.113372093023256,0.9184833000855221
compliance_mean,All,Diffusion,43,2.122093023255814,0.9036501591812293
compliance_mean,All,All,127,2.199803149606299,0.9760601484147039
confidence_delta,Normative,Majority,41,4.2256097560975645,16.526286341580267
confidence_delta,Normative,Minority,43,9.040697674418606,12.292798200446438
confidence_delta,Normative,Diffusion,43,8.575581395348838,11.189059133671092
confidence_delta,Normative,All,127,7.3287401574803175,13.545144270949455
confidence_delta,Informative,Majority,41,15.786585365853657,30.095398369996378
confidence_delta,Informative,Minority,43,10.668604651162793,24.73169843602445
confidence_delta,Informative,Diffusion,43,19.796511627906977,22.9891444240766
confidence_delta,Informative,All,127,15.411417322834648,26.112670394237934
confidence_delta,All,Majority,41,10.00609756097561,18.401510451325564
confidence_delta,All,Minority,43,9.854651162790697,13.742393194372974
confidence_delta,All,Diffusion,43,14.186046511627907,13.87924570640413
confidence_delta,All,All,127,11.37007874015748,15.451684823430732
conversion_mean,Normative,Majority,41,4.4817073170731705,1.247986182693992
conversion_mean,Normative,Minority,43,4.517441860465116,1.2587731991019702
