measure,Normative - Majority_mu,Normative - Majority_sigma,Normative - Minority_mu,Normative - Minority_sigma,Normative - Diffusion_mu,Normative - Diffusion_sigma,Normative - All_mu,Normative - All_sigma,Informative - Majority_mu,Informative - Majority_sigma,Informative - Minority_mu,Informative - Minority_sigma,Informative - Diffusion_mu,Informative - Diffusion_sigma,Informative - All_mu,Informative - All_sigma,All - Majority_mu,All - Majority_sigma,All - Minority_mu,All - Minority_sigma,All - Diffusion_mu,All - Diffusion_sigma,All - All_mu,All - All_sigma
agent_affect,3.59,1.96,4.49,1.56,4.43,1.93,4.18,1.86,3.54,2.07,4.74,1.57,4.36,2.02,4.22,1.95,3.56,1.93,4.62,1.46,4.4,1.9,4.2,1.82
agent_competence,4.37,1.56,4.97,1.36,4.74,1.62,4.7,1.53,4.12,1.86,5.36,1.15,4.37,1.53,4.63,1.61,4.24,1.45,5.16,1.17,4.56,1.37,4.66,1.38
agent_integrity,4.1,1.59,5,1.37,4.73,1.69,4.62,1.59,4.2,1.75,5.12,1.27,4.72,1.68,4.69,1.61,4.15,1.43,5.06,1.18,4.73,1.52,4.65,1.42
agent_predictability,5.2,1.33,5.62,1.12,4.86,1.41,5.22,1.32,5,1.64,5.8,1,4.57,1.55,5.13,1.5,5.1,1.26,5.71,1.01,4.72,1.35,5.18,1.27
agent_trust,3.41,1.87,4.38,1.67,4.2,1.96,4.01,1.87,3.54,1.98,4.63,1.65,4.23,1.93,4.14,1.9,3.48,1.77,4.51,1.58,4.22,1.84,4.07,1.77
agent_understanding,3.95,1.88,4.9,1.56,5.14,1.88,4.67,1.84,3.88,1.98,5.16,1.52,4.86,1.83,4.65,1.85,3.91,1.72,5.03,1.39,5,1.77,4.66,1.7
agent_utility,3.68,2.02,4.47,1.75,4.37,2.06,4.18,1.96,3.73,2.05,4.76,1.6,4.49,1.94,4.33,1.91,3.71,1.9,4.61,1.56,4.43,1.89,4.26,1.82
compliance_mean,2.21,1.34,1.85,0.96,1.86,0.91,1.97,1.09,2.54,1.28,2.38,1.11,2.38,1.19,2.43,1.19,2.37,1.1,2.11,0.92,2.12,0.9,2.2,0.98
confidence_delta,4.23,16.53,9.04,12.29,8.58,11.19,7.33,13.55,15.79,30.1,10.67,24.73,19.8,22.99,15.41,26.11,10.01,18.4,9.85,13.74,14.19,13.88,11.37,15.45
conversion_mean,4.48,1.25,4.52,1.26,4.56,1.03,4.52,1.17,4.67,1.19,4.81,1.18,4.7,1.09,4.73,1.14,4.58,1.07,4.67,1.09,4.63,0.95,4.62,1.03
opinion_delta_abs,11.1,12.94,10.5,11.12,10.82,9.88,10.8,11.27,31.23,21.83,23.69,21.65,17.67,15.48,24.09,20.44,21.17,10.85,17.1,13.46,14.24,9.65,17.44,11.7
