id,source,prolific_pid,study_id,session_id,condition_type,task_order,informative_task_index,normative_task_index,created_at,finished_at,participant_no
03e8f4b6-1152-46b6-9d4b-857e3a7d6a46,prolific,5d5317c8f780730018f2c748,68c05d68bc8abb0714642f7a,68c063c8bf557f268e91c26e,minorityDiffusion,normativeFirst,5,5,2025-09-09T17:28:48Z,NA,96
05139c5e-3fd5-4690-acb7-c2846171f544,prolific,5ff454f2f0b5ed607169fba6,68c05d68bc8abb0714642f7a,68c0652801e20530f0aa6a42,minority,informativeFirst,4,2,2025-09-09T17:36:03Z,NA,113
1e02793a-b0a8-41ad-a7f6-e726b5e7dba7,prolific,5aff33bae55f90000139f664,68c05d68bc8abb0714642f7a,68c0615facd4420b4d77174c,minority,informativeFirst,4,2,2025-09-09T17:18:34Z,NA,17
28a1eac6-80a9-41ff-a0e8-2c3eea0b7a01,prolific,{{%PROLIFIC_PID%}},{{%STUDY_ID%}},{{%SESSION_ID%}},majority,informativeFirst,0,0,2025-09-09T14:24:09Z,NA,1
2aba76f6-a5c0-48b6-8d2e-f2864685853f,prolific,632a1ae0d2c0c28e680e9c5a,68c05d68bc8abb0714642f7a,68c06403e224970b64f36886,majority,normativeFirst,3,1,2025-09-09T17:29:54Z,NA,100
2f828026-f27a-435a-badf-35f92ed4dddb,prolific,test-1757431473178-eqqntb,TEST_STUDY,TEST_SESSION,minority,informativeFirst,4,5,2025-09-09T15:24:34Z,NA,11
47ab34ec-119b-4c47-8afa-ee52517f2fc3,prolific,6664c7aa5c1c7846d3618f74,68c05d68bc8abb0714642f7a,68c06227b8ab802bc51d38bb,minority,informativeFirst,4,5,2025-09-09T17:22:10Z,NA,71
4fbd634d-a658-43dd-badb-bc2fea80cafd,prolific,5be94f66a169160001dafb9d,68c05d68bc8abb0714642f7a,68c06183508fe8203f5df399,minority,informativeFirst,4,5,2025-09-09T17:19:09Z,NA,47
511ad65b-efbc-4180-beae-8546a05a4b4e,prolific,5c0586b43199f4000153f133,68c05d68bc8abb0714642f7a,68c068d040190f72028112e0,minorityDiffusion,normativeFirst,5,5,2025-09-09T17:51:57Z,NA,72
528d982e-72f3-4ebc-bd6a-efc7316f4baa,prolific,62e154b0682e270b4acdf5ee,68c05d68bc8abb0714642f7a,68c06167452476ecf0a4cede,minority,informativeFirst,4,2,2025-09-09T17:18:55Z,NA,41
5b8f16c2-2f78-4373-bfd4-ac0f18f371e5,prolific,665e65e919f6e1f21ea08fbd,68c05d68bc8abb0714642f7a,68c06787c059fe77f163fb00,majority,informativeFirst,0,3,2025-09-09T17:44:58Z,2025-09-09T17:59:27Z,55
60e7f8e1-4778-4be6-8622-22df2d440588,prolific,68b0352c1c6143ef8800b88f,68c05d68bc8abb0714642f7a,68c063d97641b70e507cf000,majority,informativeFirst,0,3,2025-09-09T17:29:08Z,NA,55
6f261ba5-7677-4255-997d-0cba9bcc268c,prolific,6760853e178af224e611e496,68c05d68bc8abb0714642f7a,68c061b1f83438373434b30a,minorityDiffusion,informativeFirst,2,1,2025-09-09T17:20:07Z,NA,51
7122b132-a5ee-45ff-8c83-464c09feedb1,prolific,5f480ae988eb7429641eae29,68c03b0330a5bf7db9a38960,68c044de9b9b338b3e0ba863,minority,normativeFirst,1,3,2025-09-09T15:17:07Z,NA,32
7666e3fa-ca15-41bb-98a3-e694af950070,prolific,66cfab152c56aa0472529001,68c05d68bc8abb0714642f7a,68c061b876b7214fab36ba92,minority,informativeFirst,4,2,2025-09-09T17:20:12Z,NA,53
7b37ae66-f309-40f3-876b-534190445346,prolific,63cedafa29d08471b828a96a,68c05d68bc8abb0714642f7a,68c0619a045de55097888391,minority,normativeFirst,1,0,2025-09-09T17:19:47Z,NA,50
8b2a2492-a113-4a39-ad28-01b1fc85db36,prolific,59b15324e79873000148879d,68c05d68bc8abb0714642f7a,68c065629af8b18117272de5,majority,normativeFirst,3,1,2025-09-09T17:35:49Z,NA,112
8bfc5e18-4046-400d-9da3-c0d5cd5b1090,prolific,6704539fe462b87182866f14,68c05d68bc8abb0714642f7a,68c0619c8945e712c85d434f,minority,informativeFirst,4,2,2025-09-09T17:21:27Z,NA,65
8c88f989-ee47-4a50-89de-f1d3cc6752dc,prolific,62b626b7cc2365d4e7f5c5aa,68c05d68bc8abb0714642f7a,68c06205d55f813ba5d5fd32,minorityDiffusion,informativeFirst,2,1,2025-09-09T17:21:18Z,NA,63
8ede819d-117f-4546-8585-2d06a42a44ed,prolific,642b2d8a7b84306d49e2f4b0,68c05d68bc8abb0714642f7a,68c06184a068f477b278ca1b,majority,informativeFirst,0,3,2025-09-09T17:20:27Z,NA,55
